,y
49,1
183,1
201,1
202,1
203,1
221,1
222,1
235,1
239,1
246,1
298,1
383,1
385,0
448,1
449,1
488,1
489,1
490,1
492,1
493,1
494,1
511,1
523,1
558,1
576,1
649,1
650,1
651,1
652,1
653,1
654,1
660,1
716,1
717,1
718,1
719,1
720,1
721,1
731,1
749,1
750,1
751,1
752,1
753,1
754,1
770,1
821,1
868,0
922,0
923,1
924,1
925,1
926,1
928,1
1083,1
1113,1
1114,1
1166,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,1
1219,1
1270,1
1325,1
1327,1
1328,1
1329,1
1330,1
1331,1
1332,1
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1409,1
1410,1
1411,1
1502,0
1541,1
1542,1
1825,1
1826,1
1915,1
1941,1
1952,1
1953,1
1954,1
1956,1
1957,1
1958,1
1960,1
1961,1
1962,1
1963,1
2056,1
2057,0
2108,1
2129,1
2130,1
2133,1
2134,1
2143,1
2144,1
2145,1
2146,0
2175,1
2176,1
2273,0
2277,1
2327,1
2328,1
2333,1
2334,1
2335,1
2422,1
2423,1
2424,1
2436,1
2437,1
2438,1
2439,1
2593,1
2594,1
2595,1
2724,1
2796,1
2865,1
2950,1
2953,1
2954,1
2955,1
3067,1
3074,1
3078,1
3079,1
3186,1
3187,1
3214,1
3259,1
3304,1
3331,1
3332,1
3333,1
3334,1
3337,1
3415,1
3490,1
3491,1
3509,1
3510,1
3519,1
3697,1
3698,1
3699,1
3700,1
3703,1
3704,1
3705,1
3706,1
3707,1
3715,1
3716,1
3717,1
3758,1
3759,1
3760,1
3844,1
3845,1
3846,1
3847,1
3985,1
3998,0
4032,0
4033,0
4034,1
4094,0
4095,1
4096,1
4097,1
4098,1
4099,1
4100,1
4238,1
4239,1
4240,1
4321,1
4322,1
4323,1
4324,1
4325,1
4326,1
4327,1
4328,1
4329,1
4330,1
4331,1
4332,1
4333,1
4474,1
4475,1
4496,1
4506,1
4507,1
4518,1
4573,1
4574,1
4727,0
4757,1
4758,1
4759,1
4760,1
4761,1
4816,1
4873,1
4903,1
5088,1
5090,1
5232,1
5233,1
5234,0
5235,0
5236,0
5239,1
5240,1
5241,1
5296,1
5297,1
5308,1
5309,1
5316,1
5340,1
5341,1
5342,1
5343,1
5345,1
5346,1
5347,1
5417,1
5418,1
5419,1
5445,1
5492,1
5493,1
5494,1
5495,1
5496,1
5552,1
5553,1
5556,1
5557,1
5558,1
5598,1
5599,1
5600,1
5632,0
5667,1
5668,1
5669,1
5670,1
5671,1
5672,1
5686,1
5741,1
5742,1
5743,1
5744,1
5745,1
5746,1
5747,1
5748,1
5749,1
5750,1
5751,1
5752,1
5753,1
5754,1
5755,1
5756,1
5757,1
5758,1
5759,1
5760,1
5761,1
5762,1
5819,1
5820,1
5821,1
5926,1
5976,1
5977,1
6230,1
6308,1
6441,1
6442,1
6443,1
6486,1
6487,1
6488,1
6489,1
6643,1
6650,1
6651,1
6689,0
6729,1
6744,1
6745,1
6746,1
6747,1
6748,1
6890,1
6891,1
6901,1
6914,1
6915,1
6916,1
6917,1
6918,1
6919,1
6939,1
6960,1
6961,1
7052,0
7156,1
7157,1
7158,1
7159,1
7160,1
7161,1
7162,1
7163,1
7164,1
7209,1
7217,1
7233,1
7235,1
7341,1
7368,1
7415,1
7544,1
7545,1
7546,1
7547,1
7548,1
7561,1
7563,1
7663,1
7783,1
7938,1
7974,1
8065,1
8066,1
8119,1
8121,1
8122,1
8172,1
8173,0
8174,0
8223,1
8224,1
8226,1
8227,1
8292,1
8293,1
8294,1
8341,1
8345,1
8346,1
8349,1
8350,1
8351,1
8353,1
8354,1
8355,1
8356,1
8357,1
8358,1
8359,1
8360,1
8361,1
8362,1
8363,1
8364,1
8365,1
8366,1
8367,1
8368,1
8369,1
8544,1
8545,1
8600,1
8669,1
8670,1
8863,1
8948,1
9041,1
9042,1
9043,1
9044,1
9184,1
9185,1
9186,1
9187,1
9188,1
9248,1
9253,1
9254,1
9255,1
9256,1
9257,1
9258,1
9259,1
9331,1
9332,1
9533,1
9534,1
9535,1
9564,1
9617,1
9618,0
9619,0
9620,0
9621,0
9622,0
9623,0
9624,0
9625,0
9649,1
9650,1
9709,1
9779,1
9849,1
9850,1
9851,1
9860,1
9873,1
9981,1
9982,1
9983,1
9984,1
9985,1
9986,1
9987,1
9988,1
9989,1
9990,1
9991,1
9992,1
9993,1
9994,1
9995,1
9996,1
9997,1
9998,1
9999,1
10000,1
10001,1
10002,1
10003,1
10004,1
10005,1
10006,1
10007,1
10008,1
10009,1
10010,1
10011,1
10012,1
10013,1
10014,1
10015,1
10094,1
10247,1
10248,1
10249,1
10276,1
10277,1
10278,1
10279,1
10280,1
10281,1
10282,1
10283,1
10284,1
10285,1
10286,1
10287,1
10288,1
10289,1
10315,1
10428,1
10429,1
10443,1
10444,1
10445,1
10535,1
10536,1
10578,1
10579,1
10580,1
10583,0
10834,1
10918,1
10923,1
10925,1
10926,1
10958,1
10959,1
10999,1
11031,1
11032,1
11033,1
11034,1
11035,1
11036,1
11037,1
11038,1
11039,1
11040,1
11041,1
11042,1
11043,1
11044,1
11045,1
11046,1
11047,1
11048,1
11049,1
11050,1
11051,1
11052,1
11053,1
11054,1
11055,1
11056,1
11057,1
11058,1
11062,1
11063,1
11064,1
11065,1
11066,1
11096,1
11100,1
11156,1
11179,1
11182,1
11210,1
11276,1
11277,1
11278,1
11279,1
11280,1
11281,1
11381,1
11382,1
11383,1
11384,1
11385,1
11553,1
11803,1
11804,1
11805,1
11806,1
11807,1
11808,1
11815,1
12051,1
12180,1
12181,1
12182,1
12229,1
12230,1
12236,0
12256,1
12310,1
12311,1
12312,1
12313,1
12340,1
12355,1
12358,1
12359,1
12370,1
12424,1
12425,1
12426,1
12672,1
12673,1
12674,1
12675,1
12676,1
12677,0
12678,0
12759,1
12764,1
12765,1
12861,1
12968,1
12969,1
12970,1
12971,1
12972,1
12973,1
12974,1
12975,1
12976,1
12977,1
12978,1
13205,1
13358,1
13376,1
13389,1
13401,1
13402,1
13405,1
13406,1
13433,1
13571,1
13572,1
13573,1
13574,1
13751,1
13752,1
13753,1
13754,1
13755,1
13756,1
13757,1
13758,1
13759,1
13760,1
13761,1
13762,1
13763,1
13764,1
13765,1
13810,1
13811,1
13952,1
13977,1
13983,1
13984,1
13985,1
13986,1
13987,1
13988,1
14076,1
14232,1
14383,1
14402,1
14403,1
14427,1
14431,1
14432,1
14436,1
14437,1
14438,1
14470,1
14474,1
14528,1
14577,1
14587,1
14588,1
14640,1
14641,1
14695,1
14733,0
14734,1
14735,1
14736,1
14737,1
14738,1
14739,1
14740,1
14741,1
14742,1
14743,1
14744,1
14745,1
14746,1
14747,1
14749,1
14750,1
14751,1
14752,1
14753,1
14754,1
14757,1
14759,1
14760,1
14761,1
14762,1
14763,1
14764,1
14767,1
14768,1
14769,1
14821,1
14822,1
14842,1
14843,1
14844,1
14845,1
14912,1
14915,1
14916,1
14917,1
15021,1
15022,1
15023,1
15024,1
15025,1
15026,1
15027,1
15028,1
15029,1
15264,1
15265,1
15266,1
15267,1
15268,1
15269,1
15270,1
15271,1
15272,1
15273,1
15274,1
15303,1
15337,1
15338,1
15339,1
15340,1
15341,1
15477,1
15483,1
15495,1
15605,1
15606,1
15658,1
15718,1
15736,1
15737,1
15824,1
15860,1
15865,1
15966,1
15967,1
15968,1
15969,1
15970,1
15971,1
15972,1
15973,1
15974,1
15975,1
15976,1
15977,1
15978,1
15979,1
15983,1
15984,1
15985,1
15986,1
15987,1
16012,1
16015,1
16016,1
16019,1
16020,1
16079,1
16105,1
16216,1
16217,1
16218,1
16219,1
16220,1
16221,1
16222,1
16223,1
16224,1
16225,1
16226,1
16227,1
16228,1
16229,1
16230,1
16231,1
16232,1
16233,1
16234,0
16270,1
16271,1
16275,1
16322,1
16323,1
16324,1
16365,1
16414,1
16417,1
16418,1
16420,1
16421,1
16422,1
16423,1
16424,1
16425,1
16426,1
16427,1
16428,1
16429,1
16430,1
16431,1
16462,1
16463,1
16466,1
16467,1
16521,1
16522,1
16523,1
16682,1
16683,1
16769,1
16770,1
16771,1
16799,1
16800,1
16801,1
16822,1
16823,1
16824,1
16889,1
16890,1
16891,1
16892,1
16893,1
16894,1
16895,1
16896,1
16897,1
16898,1
16899,1
16900,1
16901,1
16947,1
16948,1
16965,1
16966,1
17034,1
17297,1
17298,1
17299,1
17396,1
17397,1
17410,1
17411,1
17412,1
17413,1
17414,1
17415,1
17416,1
17417,1
17418,1
17419,1
17420,1
17421,1
17422,1
17423,1
17424,1
17425,1
17426,1
17427,1
17428,1
17429,1
17430,1
17431,1
17432,1
17433,1
17434,1
17435,1
17436,1
17472,1
17473,1
17474,1
17475,1
17476,1
17477,1
17548,1
17549,1
17550,1
17551,1
17638,1
17639,1
17905,1
17906,1
17912,1
17913,1
17914,1
17916,1
17917,1
17918,1
17979,1
17980,1
17981,1
17982,1
17983,1
17984,1
17985,1
17986,1
17987,1
17988,1
17989,1
17990,1
17991,1
17992,1
17993,1
17994,1
17995,1
17996,1
17997,1
18025,1
18076,1
18077,1
18078,1
18079,1
18080,1
18081,1
18082,1
18083,1
18084,1
18085,1
18086,1
18087,1
18088,1
18089,1
18090,1
18091,1
18092,1
18093,1
18094,1
18095,1
18266,1
18351,1
18352,1
18353,1
18447,1
18448,1
18449,1
18450,1
18451,1
18452,1
18609,1
18610,1
18611,1
18737,1
18843,1
18844,1
18845,1
18884,1
18885,1
18886,1
18887,1
18888,1
18975,1
18977,1
19339,1
19340,1
19341,1
19342,1
19447,1
19455,1
19456,1
19457,1
19458,1
19459,1
19485,1
19508,1
19509,1
19510,1
19515,1
19710,1
19783,1
19801,1
19802,1
19803,1
19804,1
19805,1
19806,1
19807,1
19808,1
19809,1
19810,1
19811,1
19812,1
19813,1
19814,1
19815,1
19816,1
19817,1
19818,1
19819,1
19820,1
19821,1
19822,1
19823,1
19824,1
19825,1
19913,1
19914,1
19915,1
19916,1
19917,1
19988,1
20019,1
20021,1
20022,1
20023,0
20024,1
20025,1
20026,1
20039,1
20056,1
20060,1
20085,1
20086,1
20087,1
20229,1
20281,1
20320,0
20321,0
20322,0
20420,1
20435,1
20436,1
20448,1
20449,1
20450,1
20451,1
20452,1
20453,1
20454,1
20455,1
20456,1
20457,1
20458,1
20459,1
20460,1
20461,1
20462,1
20476,1
20477,1
20478,1
20479,1
20480,1
20481,1
20482,1
20558,1
20579,1
20580,1
20581,1
20621,1
20686,1
20764,1
20765,1
20766,1
20768,1
20855,1
20856,1
20857,1
20858,1
20859,1
20860,1
21034,1
21035,1
21036,1
21088,1
21089,1
21090,1
21091,1
21092,1
21093,1
21094,1
21095,1
21134,1
21135,1
21136,1
21137,1
21138,1
21139,1
21140,1
21141,1
21142,1
21143,1
21149,1
21167,1
21168,1
21169,1
21170,1
21193,1
21211,1
21216,1
21219,1
21220,1
21221,1
21222,1
21223,1
21226,1
21227,1
21228,1
21229,1
21230,1
21277,1
21288,1
21289,1
21304,1
21352,1
21524,1
21525,1
21537,1
21538,1
21539,1
21540,1
21541,1
21542,1
21543,1
21544,1
21545,1
21546,1
21547,1
21548,1
21549,1
21550,1
21551,1
21552,1
21553,1
21554,1
21566,1
21567,1
21568,1
21569,1
21570,1
21571,1
21572,1
21573,1
21574,1
21575,1
21576,1
21577,1
21578,1
21579,1
21580,1
21581,1
21582,1
21583,1
21584,1
21585,1
21628,1
21629,1
21642,1
21649,1
21650,1
21734,1
21772,1
21773,1
21811,1
21812,1
21813,1
21814,1
21815,1
21946,1
21947,1
21948,1
22036,1
22037,1
22085,1
22145,1
22146,1
22147,1
22148,1
22149,1
22150,1
22151,1
22152,1
22153,1
22154,1
22155,1
22156,1
22157,1
22158,1
22159,1
22233,1
22433,1
22442,1
22538,1
22539,1
22598,1
22599,1
22600,1
22601,1
22602,1
22603,1
22604,1
22605,1
22606,1
22607,1
22649,1
22650,1
22651,1
22652,1
22653,1
22672,1
22726,1
22828,1
22829,1
22985,1
23096,1
23131,1
23132,1
23133,1
23252,1
23253,1
23254,1
23255,1
23256,1
23257,1
23258,1
23259,1
23260,1
23261,1
23262,1
23263,1
23264,1
23265,1
23266,1
23431,1
23704,1
23757,1
23758,1
23759,1
23792,1
23793,1
23794,1
23795,1
23796,1
23797,1
23798,1
23944,1
23945,1
24007,1
24009,1
24010,1
24087,1
24088,1
24162,1
24170,1
24171,1
24172,1
24220,1
24221,1
24222,1
24223,1
24224,1
24225,1
24226,1
24227,1
24228,1
24229,1
24242,1
24321,1
24536,1
24537,1
24538,1
24607,1
24615,1
24616,1
24617,1
24698,1
24699,1
24700,1
24720,1
24731,1
24946,1
24989,1
24990,1
25202,1
25222,1
25232,1
25360,1
25363,1
25364,1
25365,1
25366,1
25367,1
25368,1
25369,1
25370,1
25371,1
