,y
17,0
23,1
190,1
191,1
234,1
305,0
422,1
423,1
425,1
475,1
476,1
477,1
478,1
479,1
665,1
729,1
730,1
938,1
939,1
954,1
955,1
956,1
984,1
985,1
986,1
1057,0
1189,1
1235,1
1236,1
1246,1
1389,1
1392,1
1396,1
1397,1
1433,1
1523,1
1524,1
1565,1
1566,1
1592,1
1593,1
1595,1
1598,1
1600,1
1603,1
1623,1
1950,1
1951,1
1955,1
1959,1
1982,1
2051,0
2092,1
2093,1
2094,1
2119,1
2163,1
2164,1
2165,1
2281,0
2483,1
2592,1
2678,0
2722,0
2777,1
2866,0
2867,0
2931,1
3068,1
3069,1
3070,1
3071,1
3072,1
3073,1
3075,1
3076,1
3077,1
3182,0
3183,0
3184,0
3185,0
3203,1
3228,1
3229,1
3286,0
3287,0
3373,0
3374,0
3375,0
3404,1
3405,1
3406,1
3431,1
3447,1
3458,1
3514,1
3515,1
3679,0
3748,0
3788,1
3791,1
3792,1
3793,1
3794,1
3895,1
3896,1
3897,1
3933,1
3934,1
3935,1
3936,1
4089,0
4093,0
4110,0
4111,0
4174,1
4236,1
4407,0
4548,0
4583,1
4591,0
4615,1
4634,1
4661,1
4662,1
4663,1
4664,1
4718,0
4726,0
4728,0
4821,1
4858,0
4860,1
4897,1
4898,1
4899,1
4900,1
4918,1
4919,1
5089,1
5139,1
5381,1
5460,1
5461,1
5549,1
5550,1
5551,1
5554,1
5555,1
5725,1
5763,1
5774,0
5872,1
5873,1
5874,1
5875,1
5934,1
6118,0
6237,0
6238,0
6239,0
6240,0
6242,1
6243,1
6244,1
6246,0
6247,0
6248,0
6249,0
6305,1
6307,1
6471,1
6611,1
6612,1
6613,1
6712,1
6753,1
6795,1
6796,1
6797,1
6896,1
6897,1
6898,1
6899,1
6900,1
6962,1
6996,1
7018,1
7035,1
7036,1
7344,0
7414,1
7416,1
7424,1
7425,1
7458,0
7459,1
7460,1
7651,1
7652,1
7653,1
7725,1
7775,1
7879,1
7880,1
7973,0
8010,1
8038,1
8088,1
8099,1
8117,1
8118,1
8120,1
8123,1
8189,1
8332,1
8333,1
8334,1
8335,1
8336,1
8337,1
8338,1
8339,1
8340,1
8342,1
8343,1
8344,1
8347,1
8348,1
8352,1
8421,0
8422,0
8423,0
8424,0
8597,1
8598,1
8611,0
8682,1
8980,0
9020,0
9021,0
9183,0
9244,1
9245,1
9246,1
9247,1
9249,1
9250,1
9251,1
9252,1
9337,1
9338,1
9427,1
9428,1
9429,1
9455,0
9609,1
9610,1
9611,1
9633,1
9710,1
9721,1
9741,1
9742,1
9840,1
9913,0
10033,0
10151,1
10375,1
10376,1
10377,1
10378,1
10565,1
10577,1
10721,0
10749,1
10750,1
10802,1
10830,1
10831,1
10832,1
10833,1
10853,1
10883,0
10898,1
10899,1
10901,1
10902,1
10916,1
10917,1
10921,1
10924,1
10927,1
10944,1
10945,1
10946,1
10947,1
10948,1
10949,1
10950,1
10951,1
11067,0
11077,1
11157,1
11180,1
11181,1
11205,1
11206,1
11207,1
11211,1
11212,1
11259,1
11260,1
11290,0
11291,0
11386,1
11387,1
11414,1
11415,1
11489,0
11549,1
11562,0
11623,1
11662,1
11738,0
11747,1
12025,1
12027,1
12059,1
12060,1
12068,0
12220,1
12221,1
12333,1
12334,1
12339,1
12497,0
12528,0
12538,1
12562,1
12708,1
12727,1
12985,0
13036,1
13202,0
13235,1
13392,1
13407,0
13408,0
13504,0
13510,1
13511,1
13512,1
13513,1
13560,0
13562,0
13563,0
13564,0
13566,0
13567,0
13606,1
13607,1
13620,0
13694,0
13718,1
13719,1
13939,1
14039,1
14198,1
14279,1
14340,1
14417,1
14418,1
14419,1
14420,1
14421,1
14422,1
14423,1
14424,1
14425,1
14426,1
14428,1
14429,1
14430,1
14433,1
14434,1
14435,1
14472,1
14473,1
14494,1
14505,0
14547,1
14554,1
14555,1
14716,1
14732,0
14748,1
14756,1
14758,1
14841,1
15103,0
15411,0
15717,1
15719,1
15720,1
15722,1
15723,1
15725,1
15726,1
15728,1
15729,1
15731,1
15732,1
15734,1
15735,1
15738,1
15739,1
15991,1
16008,1
16009,1
16010,1
16011,1
16013,1
16014,1
16017,1
16018,1
16118,0
16119,0
16120,0
16121,0
16150,0
16166,1
16167,1
16200,1
16201,1
16202,1
16203,1
16268,0
16410,1
16411,1
16412,1
16413,1
16415,1
16416,1
16419,1
16443,1
16444,1
16451,1
16497,1
16498,1
16499,1
16500,1
16526,1
16605,1
16713,1
16742,1
16743,1
16807,1
16838,1
16887,1
17141,1
